Property;Description;Property Name;Property Type;Area;Defining reference;Alternate names
PidNameCalendarMeetingStatus;Specifies the status of an appointment or meeting.;urn:schemas:calendar:meetingstatus;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.22;urn:schemas:calendar:meetingstatus
PidNameCalendarMethod;Specifies the iCalendar method that is associated with an Appointment object.;urn:schemas:calendar:method;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.23;urn:schemas:calendar:method
PidNameCalendarProductId;Identifies the product that created the iCalendar-formatted stream.;urn:schemas:calendar:prodid;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.24;urn:schemas:calendar:prodid
PidNameCalendarRecurrenceIdRange;Specifies which instances of a recurring appointment are being referred to.;urn:schemas:calendar:recurrenceidrange;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.25;urn:schemas:calendar:recurrenceidrange
PidNameCalendarReminderOffset;Identifies the number of seconds before an appointment starts that a reminder is to be displayed.;urn:schemas:calendar:reminderoffset;PtypInteger32, 0x0003;Common;[MS-XWDCAL] section 2.2.2.26;urn:schemas:calendar:reminderoffset
PidNameCalendarResources;Identifies a list of resources, such as rooms and video equipment, that are available for an appointment.;urn:schemas:calendar:resources;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.27;urn:schemas:calendar:resources
PidNameCalendarRsvp;Specifies whether the organizer of an appointment or meeting requested a response.;urn:schemas:calendar:rsvp;PtypBoolean, 0x000B;Common;[MS-XWDCAL] section 2.2.2.28;urn:schemas:calendar:rsvp
PidNameCalendarSequence;Specifies the sequence number of a version of an appointment.;urn:schemas:calendar:sequence;PtypInteger32, 0x0003;Common;[MS-XWDCAL] section 2.2.2.29;urn:schemas:calendar:sequence
PidNameCalendarTimeZone;Specifies the time zone of an appointment or meeting.;urn:schemas:calendar:timezone;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.30;urn:schemas:calendar:timezone
PidNameCalendarTimeZoneId;Specifies the time zone identifier of an appointment or meeting.;urn:schemas:calendar:timezoneid;PtypInteger32, 0x0003;Common;[MS-XWDCAL] section 2.2.2.31;urn:schemas:calendar:timezoneid
PidNameCalendarTransparent;Specifies whether an appointment or meeting is visible to busy time searches.;urn:schemas:calendar:transparent;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.32;urn:schemas:calendar:transparent
PidNameCalendarUid;Specifies the unique identifier of an appointment or meeting.;urn:schemas:calendar:uid;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.33;urn:schemas:calendar:uid
PidNameCalendarVersion;Identifies the version of the iCalendar specification, as specified in [MS-OXCICAL] section 2.1.3.1.1.3, that is required to correctly interpret an iCalendar object.;urn:schemas:calendar:version;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.34;urn:schemas:calendar:version
PidNameCategory;Specifies the category of the file attached to the Document object.;Category;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.18;urn:schemas-microsoft-com:office:office#Category
PidNameCharacterCount;Specifies the character count of the file attached to the Document object.;CharCount;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.16;urn:schemas-microsoft-com:office:office#Characters
PidNameComments;Specifies the comments of the file attached to the Document object.;Comments;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.5;urn:schemas-microsoft-com:office:office#Comments
PidNameCompany;Specifies the company for which the file was created.;Company;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.21;urn:schemas-microsoft-com:office:office#Company
PidNameContentBase;Specifies the value of the MIME Content-Base header, which defines the base URI for resolving relative URLs contained within the message body.;Content-Base;PtypString, 0x001F;Email;[MS-OXCMSG] section 2.2.1.41;BodyContentBase
PidNameContentClass;Contains a string that identifies the type of content of a Message object.;Content-Class;PtypString, 0x001F;Email;[MS-OXCMSG] section 2.2.1.48;DAV:contentclass, urn:schemas:mailheader:content-class
PidNameContentType;Specifies the type of the body part content.;Content-Type;PtypString, 0x001F;Email;[MS-OXCMSG] section 2.2.1.50;urn:schemas:mailheader:content-type
PidNameCreateDateTimeReadOnly;Specifies the time, in UTC, that the file was first created.;CreateDtmRo;PtypTime, 0x0040;Common;[MS-OXODOC] section 2.2.1.12;urn:schemas-microsoft-com:office:office#Created
PidNameCrossReference;Contains the name of the host (with domains omitted) and a white-space-separated list of colon-separated pairs of newsgroup names and message numbers.;Xref;PtypString, 0x001F;Email;[MS-OXCMAIL] section 2.5.3;urn:schemas:mailheader:xref
PidNameDavId;Specifies a unique ID for the calendar item.;DAV:id;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.1.2;DAV:id
PidNameDavIsCollection;Indicates whether a Calendar object is a collection.;DAV:iscollection;PtypBoolean, 0x000B;Common;[MS-XWDCAL] section 2.2.1.3;DAV:iscollection
PidNameDavIsStructuredDocument;Indicates whether a Calendar object is a structured document.;DAV:isstructureddocument;PtypBoolean, 0x000B;Common;[MS-XWDCAL] section 2.2.1.4;DAV:isstructureddocument
PidNameDavParentName;Specifies the name of the Folder object that contains the Calendar object.;DAV:parentname;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.1.5;DAV:parentname
PidNameDavUid;Specifies the unique identifier for an item.;DAV:uid;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.1.6;DAV:uid
PidNameDocumentParts;Specifies the title of each part of the document.;DocParts;PtypMultipleString, 0x101F;Common;[MS-OXODOC] section 2.2.1.29;urn:schemas-microsoft-com:office:office#PartTitles
PidNameEditTime;Specifies the time that the file was last edited.;EditTime;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.10;urn:schemas-microsoft-com:office:office#TotalTime
PidNameExchangeIntendedBusyStatus;Specifies the intended free/busy status of a meeting in a Meeting request.;http://schemas.microsoft.com/exchange/intendedbusystatus;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.8.1;http://schemas.microsoft.com/exchange/intendedbusystatus
PidNameExchangeJunkEmailMoveStamp;Indicates that the message is not to be processed by a spam filter.;http://schemas.microsoft.com/exchange/junkemailmovestamp;PtypInteger32, 0x0003;Secure Messaging Properties;[MS-OXCSPAM] section 2.2.1.2;http://schemas.microsoft.com/exchange/junkemailmovestamp
PidNameExchangeModifyExceptionStructure;Specifies a structure that modifies an exception to the recurrence.;http://schemas.microsoft.com/exchange/modifyexceptionstruct;PtypBinary, 0x0102;Common;[MS-XWDCAL] section 2.2.8.2;http://schemas.microsoft.com/exchange/modifyexceptionstruct
PidNameExchangeNoModifyExceptions;Indicates whether exceptions to a recurring appointment can be modified.;http://schemas.microsoft.com/exchange/nomodifyexceptions;PtypBoolean, 0x000B;Common;[MS-XWDCAL] section 2.2.8.3;http://schemas.microsoft.com/exchange/nomodifyexceptions
PidNameExchangePatternEnd;Identifies the maximum time when an instance of a recurring appointment ends.;http://schemas.microsoft.com/exchange/patternend;PtypTime, 0x0040;Common;[MS-XWDCAL] section 2.2.8.4;http://schemas.microsoft.com/exchange/patternend
PidNameExchangePatternStart;Identifies the absolute minimum time when an instance of a recurring appointment starts.;http://schemas.microsoft.com/exchange/patternstart;PtypTime, 0x0040;Common;[MS-XWDCAL] section 2.2.8.5;http://schemas.microsoft.com/exchange/patternstart
PidNameExchangeReminderInterval;Identifies the time, in seconds, between reminders.;http://schemas.microsoft.com/exchange/reminderinterval;PtypInteger32, 0x0003;Common;[MS-XWDCAL] section 2.2.8.6;http://schemas.microsoft.com/exchange/reminderinterval
PidNameExchDatabaseSchema;Specifies an array of URLs that identifies other folders within the same message store that contain schema definition items.;urn:schemas-microsoft-com:exch-data:baseschema;PtypMultipleString, 0x101F;Common;[MS-XWDCAL] section 2.2.5.1;urn:schemas-microsoft-com:exch-data:baseschema
PidNameExchDataExpectedContentClass;Specifies an array of names that indicates the expected content classes of items within a folder.;urn:schemas-microsoft-com:exch-data:expected-content-class;PtypMultipleString, 0x101F;Common;[MS-XWDCAL] section 2.2.5.2;urn:schemas-microsoft-com:exch-data:expected-content-class
PidNameExchDataSchemaCollectionReference;Specifies an array of names that indicates the expected content classes of items within a folder.;urn:schemas-microsoft-com:exch-data:schema-collection-ref;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.5.3;urn:schemas-microsoft-com:exch-data:schema-collection-ref
PidNameExtractedAddresses;Contains an XML document with a single AddressSet element.;XmlExtractedAddresses;PtypString, 0x001F;Extracted Entities;[MS-OXCEXT] section 2.2.2.1;dispidXmlExtractedAddresses
PidNameExtractedContacts;Contains an XML document with a single ContactSet element.;XmlExtractedContacts;PtypString, 0x001F;Extracted Entities;[MS-OXCEXT] section 2.2.2.2;dispidXmlExtractedContacts
PidNameExtractedEmails;Contains an XML document with a single EmailSet element.;XmlExtractedEmails;PtypString, 0x001F;Extracted Entities;[MS-OXCEXT] section 2.2.2.3;dispidXmlExtractedEmails
PidNameExtractedMeetings;Contains an XML document with a single MeetingSet element.;XmlExtractedMeetings;PtypString, 0x001F;Extracted Entities;[MS-OXCEXT] section 2.2.2.4;dispidXmlExtractedMeetings
PidNameExtractedPhones;Contains an XML document with a single PhoneSet element.;XmlExtractedPhones;PtypString, 0x001F;Extracted Entities;[MS-OXCEXT] section 2.2.2.5;dispidXmlExtractedPhones
PidNameExtractedTasks;Contains an XML document with a single TaskSet element.;XmlExtractedTasks;PtypString, 0x001F;Extracted Entities;[MS-OXCEXT] section 2.2.2.6;dispidXmlExtractedTasks
PidNameExtractedUrls;Contains an XML document with a single UrlSet element.;XmlExtractedUrls;PtypString, 0x001F;Extracted Entities;[MS-OXCEXT] section 2.2.2.7;dispidXmlExtractedUrls
PidNameFrom;Specifies the SMTP email alias of the organizer of an appointment or meeting.;From;PtypString, 0x001F;Email;[MS-XWDCAL] section 2.2.2.35;urn:schemas:calendar:organizer
PidNameHeadingPairs;Specifies which group of headings are indented in the document.;HeadingPairs;PtypBinary, 0x0102;Common;[MS-OXODOC] section 2.2.1.30;urn:schemas-microsoft-com:office:office#HeadingPairs
PidNameHiddenCount;Specifies the hidden value of the file attached to the Document object.;HiddenCount;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.27;urn:schemas-microsoft-com:office:office#HiddenSlides
PidNameHttpmailCalendar;Specifies the URL for the Calendar folder for a particular user.;urn:schemas:httpmail:calendar;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.3.1;urn:schemas:httpmail:calendar
PidNameHttpmailHtmlDescription;Specifies the HTML content of the message.;urn:schemas:httpmail:htmldescription;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.3.2;urn:schemas:httpmail:htmldescription
PidNameHttpmailSendMessage;Specifies the email submission URI to which outgoing email is submitted.;urn:schemas:httpmail:sendmsg;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.3.3;urn:schemas:httpmail:sendmsg
PidNameICalendarRecurrenceDate;Identifies an array of instances of a recurring appointment.;urn:schemas:calendar:rdate;PtypMultipleTime, 0x1040;Common;[MS-XWDCAL] section 2.2.2.36;urn:schemas:calendar:rdate
PidNameICalendarRecurrenceRule;Specifies the rule for the pattern that defines a recurring appointment.;urn:schemas:calendar:rrule;PtypMultipleString, 0x101F;Common;[MS-XWDCAL] section 2.2.2.37;urn:schemas:calendar:rrule
PidNameInternetSubject;Specifies the subject of the message.;Subject;PtypString, 0x001F;Email;[MS-XWDCAL] section 2.2.4.1;urn:schemas:mailheader:subject
PidNameIsBirthdayContactWritable;Indicates whether the contact associated with the birthday event is writable.;IsBirthdayContactWritable;PtypBoolean, 0x000B;Contact Properties;[MS-OXOCAL] section 2.2.1.55;
PidNameKeywords;Contains keywords or categories for the Message object.;Keywords;PtypMultipleString, 0x101F;General Message Properties;[MS-OXCMSG] section 2.2.1.17;urn:schemas-microsoft-com:office:office#Keywords, http://schemas.microsoft.com/exchange/keywords-utf8
PidNameLastAuthor;Specifies the most recent author of the file attached to the Document object.;LastAuthor;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.7;urn:schemas-microsoft-com:office:office#LastAuthor
PidNameLastPrinted;Specifies the time, in UTC, that the file was last printed.;LastPrinted;PtypTime, 0x0040;Common;[MS-OXODOC] section 2.2.1.11;urn:schemas-microsoft-com:office:office#LastPrinted
PidNameLastSaveDateTime;Specifies the time, in UTC, that the file was last saved.;LastSaveDtm;PtypTime, 0x0040;Common;[MS-OXODOC] section 2.2.1.13;urn:schemas-microsoft-com:office:office#LastSaved
PidNameLineCount;Specifies the number of lines in the file attached to the Document object.;LineCount;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.23;urn:schemas-microsoft-com:office:office#Lines
PidNameLinksDirty;Indicates whether the links in the document are up-to-date.;LinksDirty;PtypBoolean, 0x000B;Common;[MS-OXODOC] section 2.2.1.31;urn:schemas-microsoft-com:office:office#LinksUpToDate
PidNameLocationUrl;;urn:schemas:calendar:locationurl;PtypString, 0x001F;Calendar;;urn:schemas:calendar:locationurl, LocationUrl
PidNameManager;Specifies the manager of the file attached to the Document object.;Manager;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.20;urn:schemas-microsoft-com:office:office#Manager
PidNameMeetingDoNotForward;Specifies whether to allow the meeting to be forwarded.;DoNotForward;PtypBoolean, 0x000B;Meetings;[MS-OXOCAL] section 2.2.1.51;
PidNameMSIPLabels;Contains the string that specifies the CLP label information.;msip_labels;PtypString, 0x001F;Email;[MS-OXCMSG] section 2.2.1.59 ;
PidNameMultimediaClipCount;Specifies the number of multimedia clips in the file attached to the Document object.;MMClipCount;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.28;urn:schemas-microsoft-com:office:office#MultimediaClips
PidNameNoteCount;Specifies the number of notes in the file attached to the Document object.;NoteCount;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.26;urn:schemas-microsoft-com:office:office#Notes
PidNameOMSAccountGuid;Contains the GUID of the SMS account used to deliver the message.;OMSAccountGuid;PtypString, 0x001F;SMS;[MS-OXOSMMS] section 2.2.1.1 ;
PidNameOMSMobileModel;Indicates the model of the mobile device used to send the SMS or MMS message.;OMSMobileModel;PtypString, 0x001F;SMS;[MS-OXOSMMS] section 2.2.1.6;
PidNameOMSScheduleTime;Contains the time, in UTC, at which the client requested that the service provider send the SMS or MMS message.;OMSScheduleTime;PtypTime, 0x0040;SMS;[MS-OXOSMMS] section 2.2.1.2;
PidNameOMSServiceType;Contains the type of service used to send an SMS or MMS message.;OMSServiceType;PtypInteger32, 0x0003;SMS;[MS-OXOSMMS] section 2.2.1.3;
PidNameOMSSourceType;Contains the source of an SMS or MMS message.;OMSSourceType;PtypInteger32, 0x0003;SMS;[MS-OXOSMMS] section 2.2.1.4;
PidNamePageCount;Specifies the page count of the file attached to the Document object.;PageCount;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.14;urn:schemas-microsoft-com:office:office#Pages
PidNameParagraphCount;Specifies the number of paragraphs in the file attached to the Document object.;ParCount;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.24;urn:schemas-microsoft-com:office:office#Paragraphs
PidNamePhishingStamp;Indicates whether a message is likely to be phishing.;http://schemas.microsoft.com/outlook/phishingstamp;PtypInteger32, 0x0003;Secure Messaging Properties;[MS-OXPHISH] section 2.2.1.1;
PidNamePresentationFormat;Specifies the presentation format of the file attached to the Document object.;PresFormat;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.19;urn:schemas-microsoft-com:office:office#PresentationFormat
PidNameQuarantineOriginalSender;Specifies the original sender of a message.;quarantine-original-sender;PtypString, 0x001F;Common;[MS-OXCMAIL] section 2.5.4;
PidNameRevisionNumber;Specifies the revision number of the file attached to the Document object.;RevNumber;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.8;urn:schemas-microsoft-com:office:office#Revision
PidNameRightsManagementLicense;Specifies the value used to cache the Use License for the rights-managed email message.;DRMLicense;PtypMultipleBinary, 0x1102;Secure Messaging Properties;[MS-OXORMMS] section 2.2.1.1;
PidNameScale;Indicates whether the image is to be scaled or cropped.;Scale;PtypBoolean, 0x000B;Common;[MS-OXODOC] section 2.2.1.32;urn:schemas-microsoft-com:office:office#ScaleCrop
PidNameSecurity;Specifies the security level of the file attached to the Document object.;Security;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.17;urn:schemas-microsoft-com:office:office#Security
PidNameSlideCount;Specifies the number of slides in the file attached to the Document object.;SlideCount;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.25;urn:schemas-microsoft-com:office:office#Slides
PidNameSubject;Specifies the subject of the file attached to the Document object.;Subject;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.2;urn:schemas-microsoft-com:office:office#Subject
PidNameTemplate;Specifies the template of the file attached to the Document object.;Template;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.6;urn:schemas-microsoft-com:office:office#Template
PidNameThumbnail;Specifies the data representing the thumbnail image of the document.;Thumbnail;PtypBinary, 0x0102;Common;[MS-OXODOC] section 2.2.1.33;urn:schemas-microsoft-com:office:office#ThumbNail
PidNameTitle;Specifies the title of the file attached to the Document object.;Title;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.1;urn:schemas-microsoft-com:office:office#Title
PidNameWordCount;Specifies the word count of the file attached to the Document object.;WordCount;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.15;urn:schemas-microsoft-com:office:office#Words
PidNameXCallId;Contains a unique identifier associated with the phone call.;X-CallID;PtypString, 0x001F;Unified Messaging;[MS-OXOUM] section 2.2.5.12;
PidNameXFaxNumberOfPages;Specifies how many discrete pages are contained within an attachment representing a facsimile message.;X-FaxNumberOfPages;PtypInteger16, 0x0002;Unified Messaging;[MS-OXOUM] section 2.2.5.8;
PidNameXRequireProtectedPlayOnPhone;Indicates that the client only renders the message on a phone.;X-RequireProtectedPlayOnPhone;PtypBoolean, 0x000B;Unified Messaging;[MS-OXOUM] section 2.2.5.14;
PidNameXSenderTelephoneNumber;Contains the telephone number of the caller associated with a voice mail message.;X-CallingTelephoneNumber;PtypString, 0x001F;Unified Messaging;[MS-OXOUM] section 2.2.5.2;
PidNameXSharingBrowseUrl;Contains a value that is ignored by the server no matter what value is generated by the client.;X-Sharing-Browse-Url;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.6;
PidNameXSharingCapabilities;Contains a string representation of the value of the PidLidSharingCapabilities property (section 2.237).;X-Sharing-Capabilities;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.2.2;
PidNameXSharingConfigUrl;Contains the same value as the PidLidSharingConfigurationUrl property (section 2.238).;X-Sharing-Config-Url;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.2.4;
PidNameXSharingExendedCaps;Contains a value that is ignored by the server no matter what value is generated by the client.;X-Sharing-Exended-Caps;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.6;
PidNameXSharingFlavor;Contains a hexadecimal string representation of the value of the PidLidSharingFlavor property (section 2.245).;X-Sharing-Flavor;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.2.6;
PidNameXSharingInstanceGuid;Contains a value that is ignored by the server no matter what value is generated by the client.;X-Sharing-Instance-Guid;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.6;
PidNameXSharingLocalType;Contains the same value as the PidLidSharingLocalType property (section 2.259).;X-Sharing-Local-Type;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.2.11;
PidNameXSharingProviderGuid;Contains the hexadecimal string representation of the value of the PidLidSharingProviderGuid property (section 2.266).;X-Sharing-Provider-Guid;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.2.13;
PidNameXSharingProviderName;Contains the same value as the PidLidSharingProviderName property (section 2.267).;X-Sharing-Provider-Name;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.2.15;
PidNameXSharingProviderUrl;Contains the same value as the PidLidSharingProviderUrl property (section 2.268).;X-Sharing-Provider-Url;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.2.17;
PidNameXSharingRemoteName;Contains the same value as the PidLidSharingRemoteName property (section 2.277).;X-Sharing-Remote-Name;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.3.2;
PidNameXSharingRemotePath;Contains a value that is ignored by the server no matter what value is generated by the client.;X-Sharing-Remote-Path;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.6;
PidNameXSharingRemoteStoreUid;Contains the same value as the PidLidSharingRemoteStoreUid property (section 2.282).;X-Sharing-Remote-Store-Uid;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.3.4;
PidNameXSharingRemoteType;Contains the same value as the PidLidSharingRemoteType property (section 2.281).;X-Sharing-Remote-Type;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.3.6;
PidNameXSharingRemoteUid;Contains the same value as the PidLidSharingRemoteUid property (section 2.282).;X-Sharing-Remote-Uid;PtypString, 0x001F;Sharing;[MS-OXSHARE] section 2.2.3.8;
PidNameXVoiceMessageAttachmentOrder;Contains the list of names for the audio file attachments that are to be played as part of a message, in reverse order.;X-AttachmentOrder;PtypString, 0x001F;Unified Messaging;[MS-OXOUM] section 2.2.5.10;
PidNameXVoiceMessageDuration;Specifies the length of the attached audio message, in seconds.;X-VoiceMessageDuration;PtypInteger16, 0x0002;Unified Messaging;[MS-OXOUM] section 2.2.5.4;
PidNameXVoiceMessageSenderName;Contains the name of the caller who left the attached voice message, as provided by the voice network's caller ID system.;X-VoiceMessageSenderName;PtypString, 0x001F;Unified Messaging;[MS-OXOUM] section 2.2.5.6;
