ID;Property;Description:;Data type;Area;Defining reference;Alternate names
0x0000100B;PidLidNoEndDateFlag;Indicates whether the recurrence pattern has an end date.;PtypBoolean, 0x000B;Calendar;[MS-XWDCAL] section 2.2.7.36;http://schemas.microsoft.com/mapi/fnoenddate
0x0000100D;PidLidRecurrenceDuration;Identifies the length, in minutes, of the appointment or meeting.;PtypInteger32, 0x0003;Calendar;[MS-XWDCAL] section 2.2.7.48;
0x00008005;PidLidFileUnder;Specifies the name under which to file a contact when displaying a list of contacts. ;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.1.11;dispidFileUnder
0x00008006;PidLidFileUnderId;Specifies how to generate and recompute the value of the PidLidFileUnder property (section 2.132) when other contact name properties change.;PtypInteger32, 0x0003;Contact Properties;[MS-OXOCNTC] section 2.2.1.1.12;dispidFileUnderId
0x00008007;PidLidContactItemData;Specifies the visible fields in the application's user interface that are used to help display the contact information. ;PtypMultipleInteger32, 0x1003;Contact Properties;[MS-OXOCNTC] section 2.2.1.10.22;dispidContactItemData
0x00008010;PidLidDepartment;This property is ignored by the server and is set to an empty string by the client.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.6.4;dispidDepartment
0x00008015;PidLidHasPicture;Specifies whether the attachment has a picture.;PtypBoolean, 0x000B;Contact Properties;[MS-OXOCNTC] section 2.2.1.8.1;dispidHasPicture
0x0000801A;PidLidHomeAddress;Specifies the complete address of the home address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.8;dispidHomeAddress
0x0000801B;PidLidWorkAddress;Specifies the complete address of the work address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.8;dispidWorkAddress
0x0000801C;PidLidOtherAddress;Specifies the complete address of the other address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.8;dispidOtherAddress
0x00008022;PidLidPostalAddressId;Specifies which physical address is the mailing address for this contact.;PtypInteger32, 0x0003;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.9;dispidPostalAddressId
0x00008023;PidLidContactCharacterSet;Specifies the character set used for a Contact object.;PtypInteger32, 0x0003;Contact Properties;[MS-OXOCNTC] section 2.2.1.10.18;dispidContactCharSet
0x00008025;PidLidAutoLog;Specifies to the application whether to create a Journal object for each action associated with this Contact object.;PtypBoolean, 0x000B;Contact Properties;[MS-OXOCNTC] section 2.2.1.10.19;dispidAutoLog
0x00008026;PidLidFileUnderList;Specifies a list of possible values for the PidLidFileUnderId property (section 2.133).;PtypMultipleInteger32, 0x1003;Contact Properties;[MS-OXOCNTC] section 2.2.1.1.13;dispidFileUnderList
0x00008028;PidLidAddressBookProviderEmailList;Specifies which electronic address properties are set on the Contact object.;PtypMultipleInteger32, 0x1003;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.11;dispidABPEmailList
0x00008029;PidLidAddressBookProviderArrayType;Specifies the state of the electronic addresses of the contact and represents a set of bit flags.;PtypInteger32, 0x0003;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.12;dispidABPArrayType
0x0000802B;PidLidHtml;Specifies the business webpage URL of the contact. ;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.10.12;dispidHTML
0x0000802C;PidLidYomiFirstName;Specifies the phonetic pronunciation of the given name of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.1.9;dispidYomiFirstName
0x0000802D;PidLidYomiLastName;Specifies the phonetic pronunciation of the surname of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.1.10;dispidYomiLastName
0x0000802E;PidLidYomiCompanyName;Specifies the phonetic pronunciation of the company name of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.6.8;dispidYomiCompanyName
0x00008040;PidLidBusinessCardDisplayDefinition;Contains user customization details for displaying a contact as a business card. ;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.7.1;dispidBCDisplayDefinition
0x00008041;PidLidBusinessCardCardPicture;Contains the image to be used on a business card.;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.7.2;dispidBCCardPicture
0x00008045;PidLidPromptSendUpdate;Indicates that the Meeting Response object was out-of-date when it was received.;PtypBoolean, 0x000B;Meeting Response;[MS-OXOCAL] section 2.2.7.8;dispidPromptSendUpdate
0x00008045;PidLidWorkAddressStreet;Specifies the street portion of the work address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.1;dispidWorkAddressStreet
0x00008046;PidLidWorkAddressCity;Specifies the city or locality portion of the work address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.2;dispidWorkAddressCity
0x00008047;PidLidWorkAddressState;Specifies the state or province portion of the work address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.3;dispidWorkAddressState
0x00008048;PidLidWorkAddressPostalCode;Specifies the postal code (ZIP code) portion of the work address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.4;dispidWorkAddressPostalCode
0x00008049;PidLidWorkAddressCountry;Specifies the country or region portion of the work address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.5;dispidWorkAddressCountry
0x0000804A;PidLidWorkAddressPostOfficeBox;Specifies the post office box portion of the work address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.7;dispidWorkAddressPostOfficeBox
0x0000804C;PidLidDistributionListChecksum;Specifies the 32-bit cyclic redundancy check (CRC) polynomial checksum, as specified in [ISO/IEC8802-3], calculated on the value of the PidLidDistributionListMembers property (section 2.96).;PtypInteger32, 0x0003;Contact Properties;[MS-OXOCNTC] section 2.2.2.2.3;dispidDLChecksum
0x0000804D;PidLidBirthdayEventEntryId;Specifies the EntryID of an optional Appointment object that represents the birthday of the contact.;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.5.3;dispidBirthdayEventEID
0x0000804E;PidLidAnniversaryEventEntryId;Specifies the EntryID of the Appointment object that represents an anniversary of the contact.;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.5.6;dispidAnniversaryEventEID
0x0000804F;PidLidContactUserField1;Contains text used to add custom text to a business card representation of a Contact object.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.7.3;dispidContactUserField1
0x00008050;PidLidContactUserField2;Contains text used to add custom text to a business card representation of a Contact object.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.7.3;dispidContactUserField2
0x00008051;PidLidContactUserField3;Contains text used to add custom text to a business card representation of a Contact object.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.7.3;dispidContactUserField3
0x00008052;PidLidContactUserField4;Contains text used to add custom text to a business card representation of a Contact object.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.7.3;dispidContactUserField4
0x00008053;PidLidDistributionListName;Specifies the name of the personal distribution list. ;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.2.1.2;dispidDLName
0x00008054;PidLidDistributionListOneOffMembers;Specifies the list of one-off EntryIDs corresponding to the members of the personal distribution list. ;PtypMultipleBinary, 0x1102;Contact Properties;[MS-OXOCNTC] section 2.2.2.2.2;dispidDLOneOffMembers
0x00008055;PidLidDistributionListMembers;Specifies the list of EntryIDs of the objects corresponding to the members of the personal distribution list. ;PtypMultipleBinary, 0x1102;Contact Properties;[MS-OXOCNTC] section 2.2.2.2.1;dispidDLMembers
0x00008062;PidLidInstantMessagingAddress;Specifies the instant messaging address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.10.6;dispidInstMsg
0x00008064;PidLidDistributionListStream;Specifies the list of EntryIDs and one-off EntryIDs corresponding to the members of the personal distribution list.;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.2.2.4;dispidDLStream
0x00008080;PidLidEmail1DisplayName;Specifies the user-readable display name for the email address.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.1;dispidEmail1DisplayName
0x00008082;PidLidEmail1AddressType;Specifies the address type of an electronic address.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.2;dispidEmail1AddrType
0x00008083;PidLidEmail1EmailAddress;Specifies the email address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.3;dispidEmail1EmailAddress
0x00008084;PidLidEmail1OriginalDisplayName;Specifies the SMTP email address that corresponds to the email address for the Contact object.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.4;dispidEmail1OriginalDisplayName, Email1OriginalDisplayName, EXSCHEMA_MAPI_EMAIL1ORIGINALDISPLAYNAME
0x00008085;PidLidEmail1OriginalEntryId;Specifies the EntryID of the object corresponding to this electronic address.;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.5;dispidEmail1OriginalEntryID
0x00008090;PidLidEmail2DisplayName;Specifies the user-readable display name for the email address.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.1;dispidEmail2DisplayName
0x00008092;PidLidEmail2AddressType;Specifies the address type of the electronic address.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.2;dispidEmail2AddrType
0x00008093;PidLidEmail2EmailAddress;Specifies the email address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.3;dispidEmail2EmailAddress
0x00008094;PidLidEmail2OriginalDisplayName;Specifies the SMTP email address that corresponds to the email address for the Contact object.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.4;dispidEmail2OriginalDisplayName
0x00008095;PidLidEmail2OriginalEntryId;Specifies the EntryID of the object that corresponds to this electronic address.;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.5;dispidEmail2OriginalEntryID
0x000080A0;PidLidEmail3DisplayName;Specifies the user-readable display name for the email address.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.1;dispidEmail3DisplayName
0x000080A2;PidLidEmail3AddressType;Specifies the address type of the electronic address.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.2;dispidEmail3AddrType
0x000080A3;PidLidEmail3EmailAddress;Specifies the email address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.3;dispidEmail3EmailAddress
0x000080A4;PidLidEmail3OriginalDisplayName;Specifies the SMTP email address that corresponds to the email address for the Contact object.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.4;dispidEmail3OriginalDisplayName
0x000080A5;PidLidEmail3OriginalEntryId;Specifies the EntryID of the object that corresponds to this electronic address.;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.5;dispidEmail3OriginalEntryID
0x000080B2;PidLidFax1AddressType;"Contains the string value ""FAX"".";PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.7;dispidFax1AddrType
0x000080B3;PidLidFax1EmailAddress;"Contains a user-readable display name, followed by the ""@"" character, followed by a fax number.";PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.8;dispidFax1EmailAddress
0x000080B4;PidLidFax1OriginalDisplayName;Contains the same value as the PidTagNormalizedSubject property (section 2.812).;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.9;dispidFax1OriginalDisplayName
0x000080B5;PidLidFax1OriginalEntryId;Specifies a one-off EntryID that corresponds to this fax address.;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.10;dispidFax1OriginalEntryID
0x000080C2;PidLidFax2AddressType;"Contains the string value ""FAX"".";PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.7;dispidFax2AddrType
0x000080C3;PidLidFax2EmailAddress;"Contains a user-readable display name, followed by the ""@"" character, followed by a fax number.";PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.8;dispidFax2EmailAddress
0x000080C4;PidLidFax2OriginalDisplayName;Contains the same value as the PidTagNormalizedSubject property (section 2.812).;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.9;dispidFax2OriginalDisplayName
0x000080C5;PidLidFax2OriginalEntryId;Specifies a one-off EntryID corresponding to this fax address.;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.10;dispidFax2OriginalEntryID
0x000080D2;PidLidFax3AddressType;"Contains the string value ""FAX"".";PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.7;dispidFax3AddrType
0x000080D3;PidLidFax3EmailAddress;"Contains a user-readable display name, followed by the ""@"" character, followed by a fax number.";PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.8;dispidFax3EmailAddress
0x000080D4;PidLidFax3OriginalDisplayName;Contains the same value as the PidTagNormalizedSubject property (section 2.812).;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.9;dispidFax3OriginalDisplayName
0x000080D5;PidLidFax3OriginalEntryId;Specifies a one-off EntryID that corresponds to this fax address.;PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.2.10;dispidFax3OriginalEntryID
0x000080D8;PidLidFreeBusyLocation;Specifies a URL path from which a client can retrieve free/busy status information for the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.10.10;dispidFreeBusyLocation
0x000080DA;PidLidHomeAddressCountryCode;Specifies the country code portion of the home address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.6;dispidHomeAddressCountryCode
0x000080DB;PidLidWorkAddressCountryCode;Specifies the country code portion of the work address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.6;dispidWorkAddressCountryCode
0x000080DC;PidLidOtherAddressCountryCode;Specifies the country code portion of the other address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.6;dispidOtherAddressCountryCode
0x000080DD;PidLidAddressCountryCode;Specifies the country code portion of the mailing address of the contact.;PtypString, 0x001F;Contact Properties;[MS-OXOCNTC] section 2.2.1.3.6;dispidAddressCountryCode
0x000080DE;PidLidBirthdayLocal;Specifies the birthday of a contact.;PtypTime, 0x0040;Contact Properties;[MS-OXOCNTC] section 2.2.1.5.2;dispidApptBirthdayLocal
0x000080DF;PidLidWeddingAnniversaryLocal;Specifies the wedding anniversary of the contact, at midnight in the client's local time zone, and is saved without any time zone conversions.;PtypTime, 0x0040;Contact Properties;[MS-OXOCNTC] section 2.2.1.5.5;dispidApptAnniversaryLocal
0x000080E0;PidLidIsContactLinked;Specifies whether the contact is linked to other contacts.; PtypBoolean, 0x000B;Contact Properties;[MS-OXOCNTC] section 2.2.1.9.6;dispidIsContactLinked
0x000080E2;PidLidContactLinkedGlobalAddressListEntryId;Specifies the EntryID of the GAL contact to which the duplicate contact is linked.; PtypBinary, 0x0102;Contact Properties;[MS-OXOCNTC] section 2.2.1.9.1;dispidContactLinkedGALEntryID
0x000080E3;PidLidContactLinkSMTPAddressCache;Contains a list of the SMTP addresses that are used by the contact.; PtypMultipleString, 0x101F;Contact Properties;[MS-OXOCNTC] section 2.2.1.9.5;dispidContactLinkSMTPAddressCache
0x000080E5;PidLidContactLinkLinkRejectHistory;Contains a list of GAL contacts that were previously rejected for linking with the duplicate contact.; PtypMultipleBinary, 0x1102;Contact Properties;[MS-OXOCNTC] section 2.2.1.9.4;dispidContactLinkLinkRejectHistory
0x000080E6;PidLidContactLinkGlobalAddressListLinkState;Specifies the state of the linking between the GAL contact and the duplicate contact.; PtypInteger32, 0x0003;Contact Properties;[MS-OXOCNTC] section 2.2.1.9.3;dispidContactLinkGALLinkState
0x000080E8;PidLidContactLinkGlobalAddressListLinkId;Specifies the GUID of the GAL contact to which the duplicate contact is linked.; PtypGuid, 0x0048;Contact Properties;[MS-OXOCNTC] section 2.2.1.9.2;dispidContactLinkGALLinkID
0x00008101;PidLidTaskStatus;Specifies the status of a task.;PtypInteger32, 0x0003;Tasks;[MS-OXOTASK] section 2.2.2.2.2;dispidTaskStatus
0x00008102;PidLidPercentComplete;Indicates whether a time-flagged Message object is complete.;PtypFloating64, 0x0005;Tasks;[MS-OXOFLAG] section 2.2.2.3;dispidPercentComplete
0x00008103;PidLidTeamTask;This property is set by the client but is ignored by the server.;PtypBoolean, 0x000B;Tasks;[MS-OXOTASK] section 2.2.2.2.36;dispidTeamTask
0x00008104;PidLidTaskStartDate;Specifies the date on which the user expects work on the task to begin.;PtypTime, 0x0040;Tasks;[MS-OXOTASK] section 2.2.2.2.4;dispidTaskStartDate
0x00008105;PidLidTaskDueDate;Specifies the date by which the user expects work on the task to be complete.;PtypTime, 0x0040;Tasks;[MS-OXOTASK] section 2.2.2.2.5;dispidTaskDueDate
0x00008107;PidLidTaskResetReminder;Indicates whether future instances of recurring tasks need reminders, even though the value of the PidLidReminderSet property (section 2.222) is 0x00.;PtypBoolean, 0x000B;Tasks;[MS-OXOTASK] section 2.2.2.2.6;dispidTaskResetReminder
0x00008108;PidLidTaskAccepted;Indicates whether a task assignee has replied to a task request for this Task object.;PtypBoolean, 0x000B;Tasks;[MS-OXOTASK] section 2.2.2.2.7;dispidTaskAccepted
0x00008109;PidLidTaskDeadOccurrence;Indicates whether new occurrences remain to be generated.;PtypBoolean, 0x000B;Tasks;[MS-OXOTASK] section 2.2.2.2.8;dispidTaskDeadOccur
0x0000810F;PidLidTaskDateCompleted;Specifies the date when the user completed work on the task.;PtypTime, 0x0040;Tasks;[MS-OXOTASK] section 2.2.2.2.9;dispidTaskDateCompleted
0x00008110;PidLidTaskActualEffort;Indicates the number of minutes that the user actually spent working on a task.;PtypInteger32, 0x0003;Tasks;[MS-OXOTASK] section 2.2.2.2.11;dispidTaskActualEffort
0x00008111;PidLidTaskEstimatedEffort;Indicates the number of minutes that the user expects to work on a task.;PtypInteger32, 0x0003;Tasks;[MS-OXOTASK] section 2.2.2.2.12;dispidTaskEstimatedEffort
0x00008112;PidLidTaskVersion;Indicates which copy is the latest update of a Task object.;PtypInteger32, 0x0003;Tasks;[MS-OXOTASK] section 2.2.2.2.13;dispidTaskVersion
0x00008113;PidLidTaskState;Indicates the current assignment state of the Task object.;PtypInteger32, 0x0003;Tasks;[MS-OXOTASK] section 2.2.2.2.14;dispidTaskState
0x00008115;PidLidTaskLastUpdate;Contains the date and time of the most recent change made to the Task object.;PtypTime, 0x0040;Tasks;[MS-OXOTASK] section 2.2.2.2.10;dispidTaskLastUpdate
0x00008116;PidLidTaskRecurrence;Contains a RecurrencePattern structure that provides information about recurring tasks.;PtypBinary, 0x0102;Tasks;[MS-OXOTASK] section 2.2.2.2.15;dispidTaskRecur
0x00008117;PidLidTaskAssigners;Contains a stack of entries, each of which represents a task assigner.;PtypBinary, 0x0102;Tasks;[MS-OXOTASK] section 2.2.2.2.16;dispidTaskMyDelegators
0x00008119;PidLidTaskStatusOnComplete;Indicates whether the task assignee has been requested to send an email message update upon completion of the assigned task.;PtypBoolean, 0x000B;Tasks;[MS-OXOTASK] section 2.2.2.2.17;dispidTaskSOC
0x0000811A;PidLidTaskHistory;Indicates the type of change that was last made to the Task object.;PtypInteger32, 0x0003;Tasks;[MS-OXOTASK] section 2.2.2.2.18;dispidTaskHistory
0x0000811B;PidLidTaskUpdates;Indicates whether the task assignee has been requested to send a task update when the assigned Task object changes.;PtypBoolean, 0x000B;Tasks;[MS-OXOTASK] section 2.2.2.2.19;dispidTaskUpdates
0x0000811C;PidLidTaskComplete;Indicates that the task is complete.;PtypBoolean, 0x000B;Tasks;[MS-OXOTASK] section 2.2.2.2.20;dispidTaskComplete
0x0000811E;PidLidTaskFCreator;Indicates that the Task object was originally created by the action of the current user or user agent instead of by the processing of a task request. ;PtypBoolean, 0x000B;Tasks;[MS-OXOTASK] section 2.2.2.2.21;dispidTaskFCreator
0x0000811F;PidLidTaskOwner;Contains the name of the owner of the task.;PtypString, 0x001F;Tasks;[MS-OXOTASK] section 2.2.2.2.22;dispidTaskOwner
0x00008120;PidLidTaskMultipleRecipients;Provides optimization hints about the recipients of a Task object.;PtypInteger32, 0x0003;Tasks;[MS-OXOTASK] section 2.2.2.2.23;dispidTaskMultRecips
0x00008121;PidLidTaskAssigner;Specifies the name of the user that last assigned the task.;PtypString, 0x001F;Tasks;[MS-OXOTASK] section 2.2.2.2.24;dispidTaskDelegator
0x00008122;PidLidTaskLastUser;Contains the name of the most recent user to have been the owner of the task.;PtypString, 0x001F;Tasks;[MS-OXOTASK] section 2.2.2.2.25;dispidTaskLastUser
0x00008123;PidLidTaskOrdinal;Provides an aid to custom sorting of Task objects.;PtypInteger32, 0x0003;Tasks;[MS-OXOTASK] section 2.2.2.2.26;dispidTaskOrdinal
